Age Group,Theme,Length,Page #,Story Text (Template),Image Prompt (Template),Moral / Lesson,Variables,Mode Minimum Inputs,Mode Optional Inputs
0-1,Adventure & Exploration,20,1,Page 1: {hero_name} experiences hero introduction.,"Illustration of {hero_name}, {hero_description}, in scene 'hero introduction', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,20,2,Page 2: {hero_name} experiences friend introduction.,"Illustration of {hero_name}, {hero_description}, in scene 'friend introduction', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,20,3,Page 3: {hero_name} experiences setting off on journey.,"Illustration of {hero_name}, {hero_description}, in scene 'setting off on journey', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,20,4,Page 4: {hero_name} experiences first challenge.,"Illustration of {hero_name}, {hero_description}, in scene 'first challenge', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,20,5,Page 5: {hero_name} experiences finding clue.,"Illustration of {hero_name}, {hero_description}, in scene 'finding clue', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,20,6,Page 6: {hero_name} experiences overcoming obstacle.,"Illustration of {hero_name}, {hero_description}, in scene 'overcoming obstacle', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,20,7,Page 7: {hero_name} experiences meeting a helper.,"Illustration of {hero_name}, {hero_description}, in scene 'meeting a helper', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,20,8,Page 8: {hero_name} experiences learning something new.,"Illustration of {hero_name}, {hero_description}, in scene 'learning something new', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,20,9,Page 9: {hero_name} experiences approaching main goal.,"Illustration of {hero_name}, {hero_description}, in scene 'approaching main goal', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,20,10,Page 10: {hero_name} experiences facing main challenge.,"Illustration of {hero_name}, {hero_description}, in scene 'facing main challenge', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
